S.NO,2020-21,Cases,Deaths,Recovered
1,Jan-20,1,0,0
2,Feb-20,3,0,0
3,Mar-20,1394,35,72
4,Apr-20,31776,1034,5506
5,May-20,146778,4012,52020
6,Jun-20,376305,11499,165847
7,Jul-20,1053377,18347,450570
8,Aug-20,1925257,27958,959630
9,Sep-20,2534597,32209,1374613
10,Oct-20,1824535,22963,1274401
11,Nov-20,1247609,15028,839897
12,Dec-20,803868,11117,558069
13,Jan-21,459474,5280,310395
14,Feb-21,339121,2659,207032
15,Mar-21,1037094,5311,400142
16,Apr-21,6541311,45403,2410454
17,May-21,8882565,117247,5226992
18,Jun-21,2187804,66559,2113029
19,Jul-21,1201164,24383,787241
20,Aug-21,1113236,13995,697072
21,Sep-21,932535,9189,600805
22,Oct-21,483279,10014,383753
23,Nov-21,311160,10684,201483
24,Dec-21,255038,9441,144975
